,Reject null hypothesis,W
b32621bcd86cb99e846d8f6fee7c9ab8,True,765
99647b51f775c8ddde8ed36a7d60dbcd,True,773
d599ebe277afb0dfd4ad3c2176afc50e,False,10
51121722488d0c3da1388d1b117cd239,True,751
1016319c25196d73bdb3096d86a9df2f,True,757
a16679d5a10caa9753f171977552d920,True,770
2bf1067d2cd4f09671e3ebe5500205ca,True,769
2d3df7387323e2edcbbfcb6e56a02710,True,660
80e2a0cdbbf0ae81a93b6ba374faeb14,True,759
f18a9c8112372e2916a66a9778f3741b,True,764
4629fbb5dde5f8ee07c2259d2887a8d4,True,765
a7f92909575fd948fad074b72093771e,True,755
16aef15e85aa57ddfb99e12bd437a14b,False,37
81e2324bb4636a8eddb3dcc3456091c9,True,759
a7acc2abb505c3ee177a12e514d3b994,True,680
b65fd5cf8ad66cd0c4d425ec210fa2e5,False,29
d5c640a3bf0085858f6f9e1c640a17b6,True,748
84d0affc7243c7d6261f3a7d680b873f,False,64
5179f5cac20c1aa00377e4942bd7f837,True,751
8139c4ac825dae48454fb4800fb87896,True,683
5833416522de0cca717a1abf720079ac,False,23
e770b18ff141c9339068443982508f7c,True,704
e772858b8c79efc10065bc1937f37d89,True,719
41f67443ce8207be0c0a956c47823417,True,750
362be41f31fd26be95ae43a8769b91c0,True,763
f6eb8537456dde7792eff60c8d1e797c,False,37
e60e325f10839a53264d636e2298becc,False,27
2893972f7b9d40e4f71411eebae76ed9,False,22
39c4199fe81f30a5b4b0fd5bf2f43c03,True,729
3f6752aabcc291b67a063fb6492fd107,False,17
1f584fb69acdb03627306d7e7b278af6,True,675
d2a8811affdca18fbfc7aa973a4d8ca1,True,752
b36ed4cdf7c0f387ac70951a11bddd29,True,736
27855451d704f0e78a81e5f951cf28b1,False,9
4e22aa3508b98813f52e1a12ffdb74ad,False,19
a5402824916049e6a0510dfb58147869,True,671
0afabc98ba5f06d77586c65dd984e126,False,384
a67613d18109ca8bda841018545cb1d7,True,741
ef9ecba707ad092c6ac7bef17d0db268,True,654
661193b56e1231050ec078a317e076a3,False,22
63aa2386a172bfacfe644fad139c104c,False,21
6e6ba3f1d999799f0ba2687bbb293ab2,False,32
857b4205ec3f91149633495d70354521,True,723
aa9dfb40c4830edc6e2118b1e6980b22,False,36
e312a2b60d73d62145c4980e7f8d01b9,True,693
25a8404c3809391205ea2ea29c50dbb7,False,26
e3ed7d00c8d0300eb6ae57c458de95b7,False,21
6630fb0bce391a5ec1dc67ee0b618f6e,False,19
385d596077ffe9ba4dcf4718d48df5a0,False,49
a55083d6821b6fdfee4ba2e9f40fc38d,False,77
2f173101691f8f9521e843a5c1ae40c1,False,42
ada653edfd3ae85d6d689e24e2546ea6,False,373
c84509b5d38955838482e9d6a4770bfe,False,102
8f0ba2d0c4a91f9303ab9e1b48d9f92b,False,37
9496b3deef3751dada324142e57b8496,False,19
