,Reject null hypothesis,W
k__Bacteria;p__Tenericutes,False,5
k__Bacteria;p__Bacteroidetes,True,25
k__Archaea;p__Euryarchaeota,False,7
k__Bacteria;p__Armatimonadetes,False,6
k__Bacteria;p__Nitrospirae,False,6
k__Archaea;p__Crenarchaeota,False,7
k__Bacteria;p__SR1,False,5
k__Bacteria;p__Proteobacteria,True,26
k__Bacteria;p__Acidobacteria,False,7
k__Bacteria;p__OD1,False,6
k__Bacteria;p__FBP,False,6
k__Bacteria;p__Chlorobi,False,7
k__Bacteria;p__Firmicutes,False,11
k__Bacteria;p__TM7,False,4
k__Bacteria;p__Planctomycetes,False,7
k__Bacteria;p__GN02,False,3
k__Bacteria;p__Fusobacteria,True,26
k__Bacteria;p__Chloroflexi,False,7
k__Bacteria;p__Deferribacteres,False,6
k__Bacteria;p__Spirochaetes,False,3
k__Bacteria;p__[Thermi],False,9
k__Bacteria;p__Synergistetes,False,3
k__Bacteria;p__Verrucomicrobia,True,24
k__Bacteria;p__Cyanobacteria,True,26
k__Bacteria;p__Actinobacteria,True,26
k__Bacteria;p__Gemmatimonadetes,False,6
k__Archaea;p__,False,4
