Percentile,0.0,25.0,50.0,75.0,100.0,0.0,25.0,50.0,75.0,100.0,0.0,25.0,50.0,75.0,100.0,0.0,25.0,50.0,75.0,100.0
Group,gut,gut,gut,gut,gut,left palm,left palm,left palm,left palm,left palm,right palm,right palm,right palm,right palm,right palm,tongue,tongue,tongue,tongue,tongue
k__Bacteria;p__Tenericutes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,11.25,17.0,1.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Bacteroidetes,4623.0,5630.75,5968.5,6235.5,7192.0,163.0,222.75,547.5,898.75,1538.0,29.0,162.0,635.0,933.0,1984.0,192.0,351.0,675.0,981.0,3979.0
k__Archaea;p__Euryarchaeota,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,4.0,1.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Armatimonadetes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Nitrospirae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
k__Archaea;p__Crenarchaeota,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__SR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,8.0,10.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0
k__Bacteria;p__Proteobacteria,62.0,155.25,187.5,246.0,356.0,364.0,1053.0,1769.0,2973.25,4510.0,39.0,153.0,618.0,2596.0,4370.0,434.0,1049.0,1190.0,2751.0,5425.0
k__Bacteria;p__Acidobacteria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,9.0,1.0,1.0,1.0,6.0,45.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__OD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__FBP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Chlorobi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Firmicutes,1666.0,2647.5,3097.5,3551.0,4095.0,776.0,1218.0,1676.5,2119.75,2847.0,183.0,313.0,356.0,5223.0,6528.0,501.0,725.0,866.0,1351.0,1973.0
k__Bacteria;p__TM7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
k__Bacteria;p__Planctomycetes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__GN02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Fusobacteria,1.0,1.0,1.0,3.25,36.0,41.0,112.5,178.0,411.0,1007.0,1.0,24.0,32.0,138.0,905.0,51.0,196.0,243.0,802.0,1148.0
k__Bacteria;p__Chloroflexi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,9.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Deferribacteres,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
k__Bacteria;p__Spirochaetes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,88.0,1.0,1.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0
